Date first seen,Time first seen (m:s),Date last seen,Time last seen (m:s),Duration (s),Protocol,Src IP addr,Src port,Dst IP addr,Dst port,Packets,Bytes,Flags,Input interface,Output interface
10/29/15,04:48.9,10/29/15,04:48.9,0,ICMP,172.16.241.1,0,128.112.213.189,11,1,94,.A....,120,0
10/29/15,04:48.9,10/29/15,04:48.9,0,TCP,116.211.0.90,52704,128.112.186.67,9095,1,40,....S.,120,70
10/29/15,04:48.9,10/29/15,04:48.9,0,TCP,74.82.47.46,35069,128.112.248.244,6379,1,40,....S.,118,70
10/29/15,04:48.9,10/29/15,04:48.9,0,TCP,116.211.0.90,52704,128.112.186.124,9047,1,40,....S.,120,70
10/29/15,04:48.9,10/29/15,04:48.9,0,TCP,202.75.54.174,443,128.112.244.229,51444,1,44,.A..S.,120,70
10/29/15,04:48.9,10/29/15,04:48.9,0,TCP,116.211.0.90,52704,128.112.186.134,8118,1,40,....S.,120,70
10/29/15,04:48.9,10/29/15,04:48.9,0,TCP,116.211.0.90,52704,128.112.185.180,9059,1,40,....S.,120,70
10/29/15,04:49.0,10/29/15,04:49.0,0,UDP,65.248.91.50,56610,128.112.28.134,53,1,64,.A....,120,0
10/29/15,04:49.0,10/29/15,04:49.0,0,UDP,82.99.240.65,37641,128.112.28.134,53,1,64,.A....,120,0
10/29/15,04:49.0,10/29/15,04:49.0,0,ICMP,172.17.1.1,0,128.112.122.119,8,1,28,.A....,120,0
10/29/15,04:49.0,10/29/15,04:49.0,0,UDP,94.179.101.151,8447,128.112.28.134,53,1,64,.A....,120,0
10/29/15,04:49.0,10/29/15,04:49.0,0,UDP,96.126.157.20,23570,128.112.28.134,53,1,64,.A....,120,0
10/29/15,04:49.0,10/29/15,04:49.0,0,UDP,119.188.21.78,12044,128.112.81.43,123,1,36,.A....,118,70
10/29/15,04:49.0,10/29/15,04:49.0,0,TCP,64.125.239.78,57187,128.112.154.71,1234,1,40,....S.,120,70
10/29/15,04:49.0,10/29/15,04:52.1,3.092,UDP,61.238.106.10,1024,128.112.221.245,15626,2,116,.A....,120,70
10/29/15,04:49.0,10/29/15,04:49.0,0,UDP,193.70.192.100,53,128.112.246.17,14023,1,74,.A....,120,70
10/29/15,04:49.0,10/29/15,04:49.0,0,TCP,184.105.247.252,36888,128.112.186.189,6379,1,40,....S.,118,70
10/29/15,04:49.0,10/29/15,04:49.0,0,UDP,31.19.142.17,51767,128.112.3.108,53,1,78,.A....,118,0
10/29/15,04:49.0,10/29/15,04:49.0,0,ICMP,49.0.1.225,0,128.112.139.5,3.3,1,99,.A....,120,70
10/29/15,04:49.0,10/29/15,04:49.0,0,TCP,192.99.152.235,30810,128.112.122.38,59461,1,44,.A..S.,120,70
10/29/15,04:49.0,10/29/15,04:49.0,0,TCP,116.211.0.90,52704,128.112.185.246,9072,1,40,....S.,120,70
10/29/15,04:49.0,10/29/15,04:49.0,0,TCP,116.211.0.90,52704,128.112.186.26,9047,1,40,....S.,120,70
10/29/15,04:49.0,10/29/15,04:51.9,2.908,TCP,94.26.36.4,2920,128.112.24.216,445,2,96,....S.,120,0
10/29/15,04:49.0,10/29/15,04:49.0,0,TCP,71.6.135.131,34680,128.112.143.168,7474,1,40,....S.,120,70
10/29/15,04:49.0,10/29/15,04:49.0,0,UDP,122.244.183.47,43801,128.112.28.134,53,1,74,.A....,120,0
10/29/15,04:49.0,10/29/15,04:49.0,0,TCP,123.123.44.243,3190,128.112.165.37,23,1,60,....S.,118,70
10/29/15,04:49.0,10/29/15,04:49.0,0,ICMP,190.133.220.84,0,128.112.130.21,3.3,1,100,.A....,118,0
10/29/15,04:49.0,10/29/15,04:49.0,0,TCP,192.227.213.210,80,128.112.181.216,11495,1,44,.A..S.,118,70
10/29/15,04:49.0,10/29/15,04:49.0,0,TCP,188.138.9.50,34680,128.112.208.149,8069,1,40,....S.,120,70
10/29/15,04:49.0,10/29/15,04:49.0,0,UDP,46.140.149.207,53,128.112.253.104,15902,1,533,.A....,118,70
10/29/15,04:49.0,10/29/15,04:49.0,0,ICMP,84.41.116.162,0,128.112.254.167,3,1,104,.A....,120,70
10/29/15,04:49.1,10/29/15,04:49.1,0,TCP,188.138.1.218,40082,205.172.166.205,26,1,40,....S.,120,70
10/29/15,04:49.1,10/29/15,04:49.1,0,TCP,94.23.151.40,80,128.112.93.60,86,1,44,.A..S.,120,70
10/29/15,04:49.1,10/29/15,04:49.1,0,TCP,95.254.59.213,63816,128.112.25.56,445,1,48,....S.,120,0
10/29/15,04:49.1,10/29/15,04:49.1,0,TCP,116.211.0.90,52704,128.112.186.119,9046,1,40,....S.,120,70
10/29/15,04:49.1,10/29/15,04:49.1,0,TCP,82.221.105.6,36877,128.112.220.233,23023,1,40,....S.,120,70
10/29/15,04:49.1,10/29/15,04:49.1,0,TCP,116.211.0.90,52704,128.112.186.92,9096,1,40,....S.,120,70
10/29/15,04:49.1,10/29/15,04:49.1,0,TCP,116.211.0.90,52704,128.112.185.227,9010,1,40,....S.,120,70
10/29/15,04:49.1,10/29/15,04:49.1,0,TCP,116.211.0.90,52704,128.112.186.96,9046,1,40,....S.,120,70
10/29/15,04:49.1,10/29/15,04:49.1,0,TCP,163.53.247.3,48413,128.112.109.147,443,1,40,....S.,120,70
10/29/15,04:49.1,10/29/15,04:49.1,0,ICMP,58.137.180.6,0,128.112.140.24,3.3,1,100,.A....,120,70
10/29/15,04:49.1,10/29/15,04:49.1,0,TCP,116.211.0.90,52704,128.112.186.131,9097,1,40,....S.,120,70
10/29/15,04:49.1,10/29/15,04:49.1,0,TCP,64.125.239.116,35032,128.112.223.86,8000,1,40,....S.,120,70
10/29/15,04:49.1,10/29/15,04:49.1,0,TCP,116.211.0.90,52704,128.112.186.54,9076,1,40,....S.,120,70
10/29/15,04:49.1,10/29/15,04:49.1,0,TCP,124.134.208.48,4901,128.112.183.217,23,1,60,....S.,118,70
10/29/15,04:49.1,10/29/15,04:49.1,0,TCP,116.211.0.90,52704,128.112.185.222,9044,1,40,....S.,120,70
10/29/15,04:49.1,10/29/15,04:49.1,0,TCP,116.211.0.90,52704,128.112.185.252,9044,1,40,....S.,120,70
10/29/15,04:49.1,10/29/15,04:49.1,0,TCP,74.82.47.46,51486,128.112.153.128,6379,1,40,....S.,118,70
10/29/15,04:49.1,10/29/15,04:49.1,0,TCP,116.211.0.90,52704,128.112.185.245,9047,1,40,....S.,120,70
10/29/15,04:49.1,10/29/15,04:49.1,0,TCP,116.211.0.90,52704,128.112.186.58,9009,1,40,....S.,120,70
10/29/15,04:49.1,10/29/15,04:49.1,0,TCP,116.211.0.90,52704,128.112.186.114,9096,1,40,....S.,120,70
10/29/15,04:49.1,10/29/15,04:49.1,0,TCP,116.211.0.90,52704,128.112.186.32,9090,1,40,....S.,120,70
10/29/15,04:49.1,10/29/15,04:49.1,0,TCP,64.125.239.61,32870,128.112.108.248,81,1,40,....S.,120,70
10/29/15,04:49.1,10/29/15,04:49.1,0,TCP,116.211.0.90,52704,128.112.186.80,9097,1,40,....S.,120,70
10/29/15,04:49.1,10/29/15,04:49.1,0,TCP,216.218.206.87,34906,128.112.143.84,6379,1,40,....S.,118,70
10/29/15,04:49.2,10/29/15,04:49.2,0,ICMP,10.8.4.22,0,128.112.125.155,11,1,89,.A....,120,0
10/29/15,04:49.2,10/29/15,04:49.2,0,ICMP,129.250.6.192,0,128.112.82.210,11,1,172,.A....,118,70
10/29/15,04:49.2,10/29/15,04:49.2,0,TCP,46.161.40.33,43093,128.112.120.194,22,1,40,....S.,118,70
10/29/15,04:49.2,10/29/15,04:49.2,0,UDP,120.209.112.115,53,128.112.142.201,3387,1,134,.A....,120,70
10/29/15,04:49.2,10/29/15,04:49.2,0,TCP,188.138.17.205,20012,128.112.5.49,443,1,40,....S.,120,70
10/29/15,04:49.2,10/29/15,04:49.2,0,TCP,50.151.50.165,61778,128.112.221.49,3389,1,44,....S.,120,70
10/29/15,04:49.2,10/29/15,04:49.2,0,TCP,163.53.247.3,48413,128.112.2.149,8080,1,40,....S.,120,70
10/29/15,04:49.2,10/29/15,04:49.2,0,TCP,94.23.151.40,80,128.112.125.104,60748,1,44,.A..S.,120,70
10/29/15,04:49.2,10/29/15,04:49.2,0,TCP,184.105.247.252,41742,128.112.2.167,6379,1,40,....S.,118,0
10/29/15,04:49.2,10/29/15,04:49.2,0,UDP,18.250.27.78,16194,128.112.28.134,53,1,62,.A....,120,0
10/29/15,04:49.2,10/29/15,04:49.2,0,TCP,216.218.206.86,56129,128.112.129.102,6379,1,40,....S.,118,70
10/29/15,04:49.2,10/29/15,04:49.2,0,UDP,94.40.16.108,51900,128.112.28.135,53,1,71,.A....,120,0
10/29/15,04:49.2,10/29/15,04:49.2,0,TCP,169.57.5.20,60000,128.112.228.182,2222,1,40,....S.,118,70
10/29/15,04:49.3,10/29/15,04:49.3,0,ICMP,188.134.15.173,0,128.112.164.61,3.3,1,90,.A....,118,70
10/29/15,03:31.0,10/29/15,04:51.7,80.776,UDP,180.175.188.212,17634,128.112.128.112,23847,135,8910,.A....,120,70
10/29/15,04:23.0,10/29/15,04:41.4,18.36,UDP,128.112.250.249,1032,129.85.168.42,161,4,428,.A....,210,0
10/29/15,04:30.7,10/29/15,04:51.7,20.98,TCP,79.127.114.65,2691,128.112.186.246,23,4,240,....S.,120,70
10/29/15,04:30.7,10/29/15,04:51.7,20.992,TCP,79.127.114.65,1955,128.112.186.247,23,4,240,....S.,120,70
10/29/15,04:23.2,10/29/15,04:42.2,18.972,TCP,96.232.5.158,50895,128.112.252.6,3283,9,544,....S.,120,70
10/29/15,04:23.4,10/29/15,04:52.6,29.236,UDP,59.38.232.234,14668,128.112.128.112,23847,10,660,.A....,120,70
10/29/15,04:30.7,10/29/15,04:51.7,20.996,TCP,79.127.114.65,2909,128.112.186.248,23,4,240,....S.,120,70
10/29/15,04:30.7,10/29/15,04:51.7,20.98,TCP,79.127.114.65,1645,128.112.186.245,23,4,240,....S.,120,70
10/29/15,04:30.7,10/29/15,04:51.8,21.056,TCP,79.127.114.65,2226,128.112.186.250,23,4,240,....S.,120,70
10/29/15,04:30.7,10/29/15,04:51.7,21,TCP,79.127.114.65,4229,128.112.186.252,23,4,240,....S.,120,70
10/29/15,04:30.7,10/29/15,04:51.8,21.06,TCP,79.127.114.65,1408,128.112.186.251,23,4,240,....S.,120,70
10/29/15,04:37.8,10/29/15,04:46.8,9.008,TCP,124.118.16.144,65499,128.112.54.241,80,3,144,....S.,120,70
10/29/15,04:23.5,10/29/15,04:45.4,21.836,UDP,128.112.75.105,44822,7.101.30.26,11038,5,250,.A....,210,70
10/29/15,04:30.8,10/29/15,04:51.8,21.06,TCP,79.127.114.65,3520,128.112.186.253,23,4,240,....S.,120,70
10/29/15,04:37.8,10/29/15,04:51.9,14.084,UDP,61.178.146.162,63397,128.112.122.199,33236,2,116,.A....,120,70
10/29/15,04:30.8,10/29/15,04:51.8,21,TCP,79.127.114.65,2791,128.112.186.254,23,4,240,....S.,120,70
10/29/15,04:37.9,10/29/15,04:46.9,9.016,TCP,128.112.28.134,52360,191.232.80.60,443,3,152,....S.,210,0
10/29/15,04:45.2,10/29/15,04:45.2,0,TCP,116.211.0.90,52704,128.112.185.189,9063,1,40,....S.,120,70
10/29/15,04:23.8,10/29/15,04:51.2,27.38,UDP,60.161.11.29,38722,128.112.128.112,26008,9,594,.A....,120,70
10/29/15,02:57.2,10/29/15,04:42.3,105.032,UDP,106.39.63.18,2860,128.112.128.112,23847,323,21318,.A....,120,70
10/29/15,04:08.3,10/29/15,04:43.3,35.02,TCP,71.188.98.58,52879,128.112.152.12,3283,10,592,....S.,120,70
10/29/15,04:41.0,10/29/15,04:44.0,2.996,TCP,68.44.33.226,37960,128.112.142.48,23,2,120,....S.,120,70
10/29/15,04:41.3,10/29/15,04:44.3,2.936,TCP,46.237.6.52,3553,128.112.239.187,445,2,128,....S.,120,0
10/29/15,04:41.3,10/29/15,04:41.3,0,TCP,163.53.247.3,52460,128.112.225.135,1080,1,40,....S.,120,70
10/29/15,04:41.3,10/29/15,04:41.3,0,TCP,116.211.0.90,52704,128.112.186.74,9043,1,40,....S.,120,70
10/29/15,04:41.3,10/29/15,04:41.3,0,UDP,87.82.201.33,53,128.112.191.122,15852,1,71,.A....,118,70
10/29/15,04:41.3,10/29/15,04:41.3,0,TCP,116.211.0.90,52704,128.112.186.125,9076,1,40,....S.,120,70
10/29/15,04:41.4,10/29/15,04:41.4,0,UDP,106.56.45.246,39307,128.112.122.199,50068,1,93,.A....,120,70
10/29/15,04:41.4,10/29/15,04:41.4,0,TCP,103.11.36.148,10010,128.112.123.176,64034,1,44,.A..S.,120,70
10/29/15,04:41.4,10/29/15,04:41.4,0,TCP,184.105.247.252,54605,128.112.222.154,6379,1,40,....S.,118,70
10/29/15,04:41.4,10/29/15,04:41.4,0,UDP,203.125.142.65,53,128.112.119.203,63037,1,64,.A....,118,70
10/29/15,04:41.4,10/29/15,04:41.4,0,TCP,74.82.47.46,54079,128.112.8.250,6379,1,40,....S.,118,70
10/29/15,04:41.4,10/29/15,04:41.4,0,TCP,184.105.139.83,34056,128.112.209.140,6379,1,40,....S.,118,70
10/29/15,04:41.4,10/29/15,04:41.4,0,ICMP,117.55.128.138,0,128.112.245.224,3.1,1,56,.A....,120,70
10/29/15,04:41.4,10/29/15,04:41.4,0,TCP,110.249.162.42,3298,128.112.194.10,3389,1,48,....S.,118,70
10/29/15,04:41.4,10/29/15,04:44.4,3,TCP,196.12.44.147,38283,128.112.8.186,135,2,120,....S.,120,0
10/29/15,04:34.0,10/29/15,04:43.0,9.012,TCP,187.138.0.92,50430,128.112.209.19,23,3,180,....S.,120,70
10/29/15,04:41.5,10/29/15,04:41.5,0,TCP,149.202.76.9,45777,128.112.179.137,9430,1,40,....S.,120,70
10/29/15,04:41.5,10/29/15,04:41.5,0,TCP,94.23.151.40,80,128.112.228.187,4534,1,44,.A..S.,120,70
10/29/15,04:41.5,10/29/15,04:41.5,0,TCP,169.57.5.20,60000,128.112.232.0,995,1,40,....S.,118,70
10/29/15,04:41.5,10/29/15,04:41.5,0,TCP,149.202.76.9,58249,128.112.248.35,9430,1,40,....S.,120,70
10/29/15,04:41.5,10/29/15,04:41.5,0,TCP,71.6.135.131,36877,128.112.177.133,9999,1,40,....S.,120,70
10/29/15,04:41.5,10/29/15,04:41.5,0,UDP,108.228.52.245,3263,128.112.3.108,53,1,71,.A....,118,0
10/29/15,04:41.5,10/29/15,04:41.5,0,ICMP,80.92.136.3,0,128.112.123.87,11,1,56,.A....,120,70
10/29/15,04:41.5,10/29/15,04:41.5,0,TCP,192.99.152.235,30810,128.112.250.143,18151,1,44,.A..S.,120,70
10/29/15,04:41.5,10/29/15,04:41.5,0,TCP,46.105.43.5,25565,128.112.90.123,5166,1,44,.A..S.,120,70
10/29/15,04:41.5,10/29/15,04:41.6,0.004,UDP,128.112.140.242,520,224.0.0.9,520,6,2852,.A....,210,0
10/29/15,04:41.6,10/29/15,04:41.6,0,TCP,82.221.105.7,40263,128.112.192.57,25,1,40,....S.,120,70
10/29/15,04:41.6,10/29/15,04:41.6,0,TCP,82.221.105.7,26366,128.112.119.141,5009,1,40,....S.,120,70
10/29/15,04:41.6,10/29/15,04:41.6,0,TCP,149.202.76.9,37832,128.112.118.122,9430,1,40,....S.,120,70
10/29/15,04:41.6,10/29/15,04:41.6,0,TCP,14.32.188.173,4284,128.112.250.182,23,1,60,....S.,118,70
10/29/15,04:41.6,10/29/15,04:41.6,0,TCP,64.125.239.157,40457,128.112.111.183,91,1,40,....S.,120,70
10/29/15,04:41.6,10/29/15,04:41.6,0,UDP,67.180.93.21,57981,128.112.28.134,53,1,70,.A....,120,0
10/29/15,04:41.6,10/29/15,04:41.6,0,ICMP,124.114.40.251,0,128.112.188.166,3.3,1,104,.A....,120,70
10/29/15,04:41.6,10/29/15,04:41.6,0,TCP,103.11.36.148,10010,128.112.129.8,65400,1,44,.A..S.,120,70
10/29/15,04:41.6,10/29/15,04:41.6,0,TCP,184.105.247.235,50047,128.112.191.34,6379,1,40,....S.,118,70
10/29/15,04:41.7,10/29/15,04:41.7,0,ICMP,58.50.243.218,0,128.112.139.243,3.3,1,56,.A....,120,70
10/29/15,04:34.0,10/29/15,04:43.0,9.016,TCP,218.95.15.220,10968,128.112.122.199,33236,3,152,....S.,120,70
10/29/15,04:41.7,10/29/15,04:41.7,0,TCP,163.53.247.3,52460,128.112.132.97,443,1,40,....S.,120,70
10/29/15,04:41.7,10/29/15,04:41.7,0,TCP,174.7.5.11,38782,128.112.122.116,23,1,60,....S.,118,70
10/29/15,04:41.7,10/29/15,04:41.7,0,TCP,91.236.75.4,57438,128.112.197.139,3128,1,40,....S.,118,70
10/29/15,04:41.7,10/29/15,04:41.7,0,TCP,169.57.5.20,60000,128.112.191.193,443,1,40,....S.,118,70
10/29/15,04:41.7,10/29/15,04:41.8,0.064,UDP,120.2.16.169,1259,128.112.108.225,44053,3,174,.A....,118,70
10/29/15,04:41.7,10/29/15,04:41.7,0,TCP,202.75.54.174,443,128.112.202.135,3861,1,44,.A..S.,120,70
10/29/15,04:41.7,10/29/15,04:41.7,0,TCP,64.125.239.114,55127,128.112.3.119,1234,1,40,....S.,120,70
10/29/15,04:41.7,10/29/15,04:41.7,0,TCP,119.90.139.50,42255,128.112.192.28,902,1,44,....S.,120,70
10/29/15,04:41.7,10/29/15,04:41.7,0,TCP,46.105.43.5,25565,128.112.8.16,63168,1,44,.A..S.,120,70
10/29/15,04:41.7,10/29/15,04:41.7,0,TCP,64.125.239.97,60239,128.112.228.100,91,1,40,....S.,120,70
10/29/15,04:41.7,10/29/15,04:44.7,3.004,TCP,201.242.221.111,1899,128.112.10.203,445,2,96,....S.,120,0
10/29/15,04:41.7,10/29/15,04:41.7,0,UDP,104.238.137.112,58112,128.112.95.198,123,1,220,.A....,118,70
10/29/15,04:41.7,10/29/15,04:41.7,0,TCP,220.164.185.223,25841,128.112.122.183,50060,1,48,....S.,120,70
10/29/15,04:41.8,10/29/15,04:41.8,0,UDP,67.91.214.36,53,128.112.183.139,13821,1,76,.A....,118,70
10/29/15,04:41.8,10/29/15,04:41.8,0,TCP,46.105.43.5,25565,128.112.254.12,40370,1,44,.A..S.,120,70
10/29/15,04:41.8,10/29/15,04:41.8,0,TCP,116.211.0.90,52704,128.112.186.43,9087,1,40,....S.,120,70
10/29/15,04:41.8,10/29/15,04:41.8,0,TCP,116.211.0.90,52704,128.112.186.77,9093,1,40,....S.,120,70
10/29/15,04:41.8,10/29/15,04:41.8,0,TCP,71.6.135.131,31632,128.112.151.165,8140,1,40,....S.,120,70
10/29/15,04:41.8,10/29/15,04:41.8,0,TCP,116.211.0.90,52704,128.112.186.61,9092,1,40,....S.,120,70
10/29/15,04:41.8,10/29/15,04:41.8,0,TCP,116.211.0.90,52704,128.112.186.162,9024,1,40,....S.,120,70
10/29/15,04:41.8,10/29/15,04:41.8,0,TCP,116.211.0.90,52704,128.112.186.50,9073,1,40,....S.,120,70
10/29/15,04:41.8,10/29/15,04:41.8,0,TCP,116.211.0.90,52704,128.112.186.20,9076,1,40,....S.,120,70
10/29/15,04:41.8,10/29/15,04:41.8,0,TCP,116.211.0.90,52704,128.112.186.24,9091,1,40,....S.,120,70
10/29/15,04:41.8,10/29/15,04:41.8,0,TCP,116.211.0.90,52704,128.112.186.35,9043,1,40,....S.,120,70
10/29/15,04:41.8,10/29/15,04:41.8,0,TCP,116.211.0.90,52704,128.112.186.20,9074,1,40,....S.,120,70
10/29/15,04:41.8,10/29/15,04:44.9,3.048,UDP,171.105.75.232,32545,128.112.122.183,33228,2,116,.A....,120,70
10/29/15,04:41.8,10/29/15,04:41.8,0,UDP,93.115.254.55,53,128.112.190.90,15564,1,72,.A....,120,70
10/29/15,04:41.8,10/29/15,04:41.8,0,ICMP,85.91.136.156,0,128.112.120.112,8,1,60,.A....,118,70
10/29/15,04:41.8,10/29/15,04:44.8,3,TCP,68.44.33.226,49657,128.112.142.49,23,2,120,....S.,120,70
10/29/15,04:41.9,10/29/15,04:41.9,0,TCP,192.227.213.210,80,128.112.79.4,2224,1,44,.A..S.,118,70
10/29/15,04:41.9,10/29/15,04:41.9,0,TCP,116.211.0.90,52704,128.112.185.252,9010,1,40,....S.,120,70
10/29/15,04:41.9,10/29/15,04:41.9,0,TCP,71.6.135.131,34680,128.112.119.164,7777,1,40,....S.,120,70
10/29/15,04:41.9,10/29/15,04:41.9,0,TCP,141.212.122.74,57063,128.112.232.39,80,1,40,....S.,119,70
10/29/15,04:41.9,10/29/15,04:41.9,0,TCP,141.212.122.75,60107,128.112.232.39,80,1,40,....S.,119,70
10/29/15,04:41.9,10/29/15,04:41.9,0,TCP,103.11.36.148,10010,128.112.124.102,64216,1,44,.A..S.,120,70
10/29/15,04:41.9,10/29/15,04:41.9,0,TCP,116.211.0.90,52704,128.112.186.162,9093,1,40,....S.,120,70
10/29/15,04:41.9,10/29/15,04:41.9,0,TCP,116.211.0.90,52704,128.112.186.115,9046,1,40,....S.,120,70
10/29/15,04:41.9,10/29/15,04:41.9,0,TCP,116.211.0.90,52704,128.112.186.178,9027,1,40,....S.,120,70
10/29/15,04:41.9,10/29/15,04:41.9,0,UDP,202.128.0.3,53,128.112.246.36,14042,1,68,.A....,118,70
10/29/15,04:41.9,10/29/15,04:41.9,0,TCP,141.212.122.135,59513,128.112.191.250,443,1,40,....S.,119,70
10/29/15,04:34.2,10/29/15,04:43.3,9.08,TCP,139.205.78.142,56102,128.112.122.183,33228,3,156,....S.,120,70
10/29/15,04:41.9,10/29/15,04:41.9,0,UDP,97.101.193.253,33481,128.112.28.134,53,1,66,.A....,120,0
10/29/15,04:41.9,10/29/15,04:41.9,0,TCP,193.189.116.72,34431,128.112.159.221,2525,1,48,....S.,120,70
10/29/15,04:41.9,10/29/15,04:41.9,0,TCP,141.212.122.134,34196,128.112.191.250,443,1,40,....S.,119,70
10/29/15,04:41.9,10/29/15,04:41.9,0,TCP,184.105.247.235,35662,128.112.89.242,6379,1,40,....S.,118,70
10/29/15,04:41.9,10/29/15,04:44.9,2.992,TCP,68.44.33.226,45750,128.112.142.50,23,2,120,....S.,120,70
10/29/15,04:41.9,10/29/15,04:41.9,0,TCP,202.75.54.174,443,128.112.80.152,20738,1,44,.A..S.,120,70
10/29/15,04:41.9,10/29/15,04:41.9,0,UDP,93.177.235.97,53,128.112.119.185,63019,1,66,.A....,118,70
10/29/15,04:41.9,10/29/15,04:41.9,0,TCP,74.82.47.7,34445,128.112.173.242,6379,1,40,....S.,118,70
10/29/15,04:34.4,10/29/15,04:43.5,9.104,TCP,123.163.248.238,37342,128.112.122.199,33236,3,156,....S.,120,70
10/29/15,04:34.4,10/29/15,04:43.3,8.876,TCP,58.210.70.186,12997,128.112.122.199,33236,3,156,....S.,120,70
10/29/15,04:34.4,10/29/15,04:43.4,9,TCP,190.69.155.237,31850,128.112.180.214,22,3,180,....S.,120,70
10/29/15,04:34.6,10/29/15,04:43.5,8.908,TCP,222.216.131.164,13706,128.112.122.199,33236,3,152,....S.,120,70
10/29/15,04:34.6,10/29/15,04:43.6,9.004,TCP,58.240.194.218,9376,128.112.122.199,33236,3,152,....S.,118,70
10/29/15,04:34.7,10/29/15,04:43.7,9.004,TCP,183.135.169.153,10485,128.112.122.183,33228,3,152,....S.,120,70
10/29/15,04:34.7,10/29/15,04:43.7,9.028,TCP,1.199.236.68,1937,128.112.122.199,33236,3,156,....S.,120,70
10/29/15,04:20.7,10/29/15,04:41.6,20.916,UDP,128.112.252.21,58593,128.112.140.40,161,3,321,.A....,210,0
10/29/15,04:56.5,10/29/15,04:56.5,0,TCP,128.112.45.14,43904,103.11.36.148,10010,1,40,...R..,85,70
10/29/15,04:56.6,10/29/15,04:56.6,0,TCP,128.112.169.153,10251,103.11.36.148,10010,1,40,...R..,210,70
10/29/15,04:56.7,10/29/15,04:56.7,0,TCP,203.34.37.19,27020,128.112.230.55,46005,1,40,.A.R..,120,70
10/29/15,04:56.8,10/29/15,04:56.8,0,TCP,104.27.132.121,80,128.112.255.16,32801,1,40,...R..,118,70
10/29/15,03:41.3,10/29/15,04:44.8,63.524,UDP,183.129.241.90,20169,128.112.128.112,26008,29,1878,.A....,120,70
10/29/15,04:45.2,10/29/15,04:45.2,0,TCP,116.211.0.90,52704,128.112.186.126,9095,1,40,....S.,120,70
10/29/15,04:45.3,10/29/15,04:45.3,0,TCP,116.211.0.90,52704,128.112.186.55,9010,1,40,....S.,120,70
10/29/15,04:45.3,10/29/15,04:45.3,0,TCP,46.105.43.5,25565,128.112.83.46,44696,1,44,.A..S.,120,70
10/29/15,04:50.1,10/29/15,04:51.1,0.996,TCP,195.88.209.6,42853,128.112.116.254,18264,2,120,....S.,118,70
10/29/15,04:50.1,10/29/15,04:50.1,0,UDP,141.212.122.172,59798,128.112.11.128,53,1,64,.A....,119,70
10/29/15,04:50.1,10/29/15,04:50.1,0,UDP,69.172.39.251,53,128.112.245.54,13804,1,82,.A....,118,70
10/29/15,04:50.1,10/29/15,04:50.1,0,TCP,116.211.0.90,52704,128.112.186.112,9043,1,40,....S.,120,70
10/29/15,04:50.1,10/29/15,04:50.1,0,TCP,116.211.0.90,52704,128.112.186.120,9001,1,40,....S.,120,70
10/29/15,04:50.1,10/29/15,04:50.1,0,UDP,5.8.66.69,32796,128.112.195.157,123,1,220,.A....,120,70
10/29/15,04:50.1,10/29/15,04:50.1,0,TCP,163.53.247.3,52460,128.112.190.155,443,1,40,....S.,120,70
10/29/15,04:50.1,10/29/15,04:50.1,0,TCP,71.6.165.200,17449,128.112.79.139,5900,1,40,....S.,120,70
10/29/15,04:50.1,10/29/15,04:50.1,0,TCP,184.105.247.252,56069,128.112.254.137,6379,1,40,....S.,118,70
10/29/15,04:50.1,10/29/15,04:50.1,0,TCP,74.82.47.7,58230,128.112.174.211,6379,1,40,....S.,118,70
10/29/15,04:50.1,10/29/15,04:50.1,0,TCP,216.218.206.86,60389,128.112.223.209,6379,1,40,....S.,118,70
